MLII,V1,Sample
-0.72,0.49,292
-0.715,0.475,293
-0.695,0.425,294
-0.665,0.405,295
-0.605,0.4,296
-0.565,0.385,297
-0.54,0.395,298
-0.53,0.365,299
-0.515,0.33,300
-0.475,0.32,301
-0.445,0.32,302
-0.415,0.33,303
-0.41,0.315,304
-0.41,0.31,305
-0.41,0.29,306
-0.395,0.275,307
-0.38,0.295,308
-0.355,0.29,309
-0.355,0.295,310
-0.385,0.295,311
-0.39,0.285,312
-0.39,0.275,313
-0.36,0.28,314
-0.34,0.295,315
-0.35,0.31,316
-0.365,0.295,317
-0.385,0.285,318
-0.385,0.28,319
-0.36,0.295,320
-0.345,0.295,321
-0.365,0.29,322
-0.36,0.29,323
-0.37,0.295,324
-0.36,0.275,325
-0.345,0.29,326
-0.34,0.29,327
-0.36,0.29,328
-0.37,0.29,329
-0.37,0.265,330
-0.355,0.275,331
-0.335,0.28,332
-0.33,0.27,333
-0.345,0.28,334
-0.35,0.275,335
-0.355,0.27,336
-0.335,0.255,337
-0.33,0.255,338
-0.32,0.265,339
-0.32,0.275,340
-0.325,0.275,341
-0.34,0.255,342
-0.32,0.245,343
-0.305,0.245,344
-0.305,0.255,345
-0.295,0.265,346
-0.29,0.265,347
-0.3,0.255,348
-0.3,0.255,349
-0.295,0.255,350
-0.29,0.26,351
-0.28,0.26,352
-0.295,0.265,353
-0.305,0.26,354
-0.3,0.245,355
-0.29,0.25,356
-0.28,0.245,357
-0.285,0.255,358
-0.28,0.26,359
-0.315,0.23,360
-0.285,0.23,361
-0.275,0.23,362
-0.265,0.255,363
-0.26,0.255,364
-0.275,0.265,365
-0.29,0.245,366
-0.28,0.225,367
-0.275,0.235,368
-0.265,0.245,369
-0.26,0.26,370
-0.27,0.245,371
-0.285,0.235,372
-0.28,0.23,373
-0.265,0.23,374
-0.255,0.23,375
-0.26,0.245,376
-0.27,0.245,377
-0.28,0.23,378
-0.28,0.215,379
-0.27,0.215,380
-0.26,0.245,381
-0.26,0.245,382
-0.255,0.235,383
-0.275,0.21,384
-0.29,0.205,385
-0.275,0.22,386
-0.25,0.24,387
-0.255,0.25,388
-0.26,0.24,389
-0.285,0.22,390
-0.29,0.22,391
-0.28,0.225,392
-0.26,0.235,393
-0.25,0.25,394
-0.285,0.24,395
-0.28,0.215,396
-0.28,0.205,397
-0.265,0.22,398
-0.245,0.23,399
-0.235,0.245,400
-0.265,0.235,401
-0.28,0.215,402
-0.28,0.215,403
-0.255,0.215,404
-0.235,0.23,405
-0.23,0.24,406
-0.25,0.22,407
-0.26,0.22,408
-0.26,0.205,409
-0.235,0.21,410
-0.235,0.225,411
-0.23,0.22,412
-0.25,0.22,413
-0.255,0.2,414
-0.255,0.2,415
-0.235,0.22,416
-0.22,0.22,417
-0.235,0.225,418
-0.245,0.215,419
-0.26,0.21,420
-0.255,0.2,421
-0.23,0.215,422
-0.21,0.225,423
-0.21,0.23,424
-0.23,0.23,425
-0.23,0.225,426
-0.21,0.22,427
-0.18,0.24,428
-0.15,0.255,429
-0.16,0.255,430
-0.17,0.255,431
-0.175,0.25,432
-0.135,0.24,433
-0.09,0.245,434
-0.065,0.255,435
-0.065,0.24,436
-0.095,0.23,437
-0.105,0.195,438
-0.095,0.175,439
-0.09,0.185,440
-0.07,0.19,441
-0.085,0.18,442
-0.125,0.17,443
-0.145,0.17,444
-0.15,0.165,445
-0.145,0.17,446
-0.165,0.18,447
-0.205,0.185,448
-0.245,0.19,449
-0.25,0.195,450
-0.235,0.19,451
-0.21,0.19,452
-0.22,0.21,453
-0.24,0.215,454
-0.255,0.205,455
-0.265,0.195,456
-0.255,0.2,457
-0.235,0.19,458
-0.25,0.2,459
-0.27,0.215,460
-0.29,0.2,461
-0.28,0.195,462
-0.245,0.2,463
-0.22,0.2,464
-0.235,0.21,465
-0.245,0.21,466
-0.26,0.205,467
-0.26,0.19,468
-0.25,0.185,469
-0.225,0.19,470
-0.225,0.19,471
-0.25,0.17,472
-0.27,0.18,473
-0.26,0.17,474
-0.2,0.165,475
-0.085,0.13,476
0.06,0.085,477
0.215,0.02,478
0.42,-0.04,479
0.68,-0.045,480
0.98,-0.035,481
1.265,-0.045,482
1.465,-0.04,483
1.485,0.01,484
1.26,0.085,485
0.935,0.13,486
0.59,0.135,487
0.24,0.15,488
-0.03,0.13,489
-0.18,0.105,490
-0.255,0.09,491
-0.255,0.095,492
-0.27,0.11,493
-0.27,0.155,494
-0.275,0.18,495
-0.265,0.21,496
-0.27,0.215,497
-0.275,0.21,498
-0.285,0.21,499
-0.295,0.215,500
-0.305,0.235,501
-0.31,0.23,502
-0.31,0.23,503
-0.31,0.225,504
-0.315,0.22,505
-0.315,0.215,506
-0.32,0.22,507
-0.305,0.23,508
-0.295,0.23,509
-0.29,0.225,510
-0.3,0.215,511
-0.32,0.22,512
-0.295,0.225,513
-0.295,0.225,514
-0.295,0.24,515
-0.295,0.22,516
-0.295,0.21,517
-0.285,0.22,518
-0.28,0.23,519
-0.28,0.245,520
-0.26,0.24,521
-0.29,0.225,522
-0.27,0.205,523
-0.265,0.2,524
-0.25,0.21,525
-0.245,0.215,526
-0.245,0.215,527
-0.27,0.195,528
-0.255,0.18,529
-0.245,0.165,530
-0.225,0.185,531
-0.215,0.195,532
-0.215,0.18,533
-0.23,0.16,534
-0.225,0.155,535
-0.195,0.16,536
-0.195,0.16,537
-0.185,0.175,538
-0.195,0.15,539
-0.185,0.135,540
-0.17,0.12,541
-0.15,0.12,542
-0.13,0.13,543
-0.12,0.12,544
-0.125,0.115,545
-0.12,0.085,546
-0.11,0.065,547
-0.08,0.055,548
-0.06,0.055,549
-0.035,0.05,550
-0.03,0.04,551
-0.03,0.005,552
-0.015,-0.01,553
0.005,-0.015,554
0.04,-0.015,555
0.06,-0.015,556
0.07,-0.02,557
0.06,-0.055,558
0.065,-0.075,559
0.09,-0.065,560
0.125,-0.075,561
0.15,-0.06,562
0.12,-0.06,563
0.125,-0.085,564
0.12,-0.09,565
0.14,-0.09,566
0.17,-0.06,567
0.175,-0.045,568
0.16,-0.05,569
0.145,-0.055,570
0.125,-0.05,571
0.14,-0.02,572
0.145,0.0,573
0.14,0.03,574
0.11,0.045,575
0.07,0.045,576
0.04,0.055,577
0.03,0.085,578
0.04,0.125,579
0.02,0.15,580
-0.02,0.155,581
-0.06,0.155,582
-0.07,0.17,583
-0.08,0.195,584
-0.075,0.215,585
-0.085,0.245,586
-0.115,0.24,587
-0.16,0.24,588
-0.18,0.24,589
-0.165,0.26,590
-0.165,0.27,591
-0.165,0.29,592
-0.205,0.28,593
-0.235,0.27,594
-0.23,0.26,595
-0.22,0.28,596
-0.2,0.29,597
-0.21,0.305,598
-0.225,0.305,599
-0.255,0.29,600
-0.25,0.28,601
-0.225,0.295,602
-0.22,0.3,603
-0.21,0.315,604
-0.235,0.305,605
-0.25,0.285,606
-0.255,0.28,607
-0.23,0.285,608
-0.225,0.305,609
-0.225,0.315,610
-0.225,0.305,611
-0.255,0.29,612
-0.245,0.275,613
-0.23,0.285,614
-0.21,0.285,615
-0.2,0.29,616
-0.215,0.28,617
-0.235,0.275,618
-0.23,0.26,619
-0.22,0.255,620
-0.205,0.275,621
-0.2,0.285,622
-0.23,0.27,623
-0.245,0.25,624
-0.235,0.24,625
-0.215,0.245,626
-0.2,0.275,627
-0.195,0.27,628
-0.22,0.265,629
-0.25,0.245,630
-0.26,0.25,631
-0.23,0.26,632
-0.22,0.275,633
-0.21,0.275,634
-0.225,0.265,635
-0.245,0.26,636
-0.22,0.265,637
-0.2,0.275,638
-0.175,0.3,639
-0.16,0.305,640
-0.18,0.3,641
-0.18,0.285,642
-0.155,0.275,643
-0.115,0.27,644
-0.08,0.29,645
-0.06,0.295,646
-0.07,0.27,647
-0.08,0.235,648
-0.085,0.225,649
-0.065,0.22,650
-0.055,0.21,651
-0.06,0.215,652
-0.085,0.225,653
-0.115,0.195,654
-0.125,0.19,655
-0.135,0.21,656
-0.13,0.215,657
-0.14,0.225,658
-0.18,0.225,659
-0.22,0.21,660
-0.24,0.22,661
-0.245,0.245,662
-0.24,0.28,663
-0.235,0.305,664
-0.255,0.285,665
-0.26,0.275,666
-0.235,0.26,667
-0.195,0.23,668
-0.15,0.215,669
-0.1,0.17,670
-0.06,0.125,671
-0.035,0.06,672
0.035,0.0,673
0.115,-0.06,674
0.2,-0.12,675
0.29,-0.22,676
0.35,-0.335,677
0.415,-0.445,678
0.49,-0.54,679
0.57,-0.6,680
0.63,-0.65,681
0.67,-0.705,682
0.69,-0.79,683
0.745,-0.87,684
0.83,-0.94,685
0.94,-0.98,686
1.025,-0.995,687
1.06,-1.01,688
1.085,-1.045,689
1.19,-1.1,690
1.37,-1.13,691
1.51,-1.155,692
1.605,-1.165,693
1.66,-1.18,694
1.69,-1.16,695
1.765,-1.115,696
1.855,-1.05,697
1.935,-0.925,698
1.945,-0.765,699
1.735,-0.585,700
1.335,-0.36,701
0.93,-0.18,702
0.61,-0.035,703
0.33,0.085,704
0.1,0.17,705
-0.1,0.21,706
-0.265,0.255,707
-0.375,0.29,708
-0.41,0.31,709
-0.405,0.345,710
-0.415,0.385,711
-0.46,0.405,712
-0.495,0.405,713
-0.545,0.415,714
-0.545,0.42,715
-0.545,0.435,716
-0.545,0.465,717
-0.56,0.465,718
-0.59,0.465,719
-0.615,0.465,720
-0.61,0.46,721
-0.61,0.475,722
-0.605,0.49,723
-0.6,0.505,724
-0.63,0.495,725
-0.645,0.495,726
-0.63,0.49,727
-0.615,0.515,728
-0.615,0.525,729
-0.615,0.545,730
-0.66,0.54,731
-0.685,0.54,732
-0.675,0.535,733
-0.66,0.565,734
-0.65,0.59,735
-0.655,0.6,736
-0.69,0.62,737
-0.72,0.605,738
-0.725,0.615,739
-0.7,0.64,740
-0.7,0.665,741
-0.715,0.685,742
-0.745,0.685,743
-0.76,0.685,744
-0.765,0.695,745
-0.755,0.715,746
-0.755,0.745,747
-0.755,0.76,748
-0.79,0.76,749
-0.805,0.76,750
-0.795,0.755,751
-0.785,0.775,752
-0.77,0.8,753
-0.78,0.815,754
-0.8,0.815,755
-0.825,0.815,756
-0.83,0.805,757
-0.82,0.83,758
-0.8,0.845,759
-0.79,0.855,760
-0.805,0.84,761
-0.84,0.82,762
-0.83,0.815,763
-0.805,0.805,764
-0.785,0.81,765
-0.765,0.805,766
-0.765,0.78,767
-0.78,0.745,768
-0.76,0.735,769
-0.715,0.72,770
-0.67,0.71,771
-0.67,0.69,772
-0.675,0.66,773
-0.675,0.61,774
-0.635,0.575,775
-0.59,0.56,776
-0.555,0.555,777
-0.535,0.545,778
-0.545,0.495,779
-0.52,0.47,780
-0.495,0.44,781
-0.445,0.41,782
-0.415,0.41,783
-0.395,0.4,784
-0.415,0.375,785
-0.42,0.36,786
-0.38,0.34,787
-0.36,0.33,788
-0.35,0.35,789
-0.34,0.325,790
-0.35,0.315,791
-0.365,0.305,792
-0.37,0.29,793
-0.34,0.3,794
-0.31,0.315,795
-0.325,0.315,796
-0.355,0.305,797
-0.37,0.285,798
-0.355,0.285,799
-0.34,0.295,800
-0.33,0.305,801
-0.33,0.3,802
-0.37,0.3,803
-0.385,0.285,804
-0.36,0.28,805
-0.35,0.285,806
-0.34,0.305,807
-0.325,0.3,808
-0.355,0.285,809
-0.375,0.265,810
-0.35,0.255,811
-0.345,0.285,812
-0.33,0.29,813
-0.325,0.295,814
-0.36,0.295,815
-0.365,0.28,816
-0.35,0.275,817
-0.34,0.285,818
-0.32,0.3,819
-0.33,0.29,820
-0.35,0.285,821
-0.355,0.265,822
-0.355,0.275,823
-0.335,0.275,824
-0.325,0.3,825
-0.33,0.3,826
-0.345,0.31,827
-0.355,0.295,828
-0.355,0.285,829
-0.325,0.29,830
-0.305,0.315,831
-0.285,0.295,832
-0.295,0.265,833
-0.275,0.245,834
-0.245,0.225,835
-0.19,0.21,836
-0.15,0.185,837
-0.135,0.155,838
-0.11,0.09,839
-0.055,0.025,840
0.045,-0.055,841
0.17,-0.145,842
0.27,-0.245,843
0.39,-0.335,844
0.49,-0.425,845
0.595,-0.535,846
0.71,-0.635,847
0.805,-0.74,848
0.91,-0.8,849
0.975,-0.84,850
1.035,-0.865,851
1.105,-0.885,852
1.185,-0.9,853
1.23,-0.875,854
1.23,-0.82,855
1.175,-0.75,856
1.1,-0.69,857
1.025,-0.625,858
0.995,-0.525,859
0.98,-0.405,860
0.97,-0.27,861
0.93,-0.195,862
0.885,-0.145,863
0.855,-0.115,864
0.865,-0.085,865
0.88,-0.025,866
0.88,0.005,867
0.895,0.025,868
0.88,0.025,869
0.885,0.02,870
0.845,-0.005,871
0.785,0.0,872
0.655,0.025,873
0.52,0.07,874
0.3,0.12,875
0.095,0.19,876
-0.075,0.24,877
-0.205,0.3,878
-0.305,0.33,879
-0.375,0.365,880
-0.43,0.38,881
-0.475,0.385,882
-0.49,0.4,883
-0.53,0.415,884
-0.575,0.425,885
-0.62,0.445,886
-0.665,0.45,887
-0.69,0.475,888
-0.71,0.495,889
-0.715,0.48,890
-0.725,0.505,891
-0.765,0.52,892
-0.805,0.52,893
-0.82,0.51,894
-0.81,0.525,895
-0.8,0.535,896
-0.81,0.545,897
-0.83,0.55,898
-0.845,0.55,899
-0.865,0.545,900
-0.88,0.555,901
-0.87,0.56,902
-0.88,0.58,903
-0.895,0.595,904
-0.92,0.61,905
-0.94,0.605,906
-0.945,0.6,907
-0.96,0.61,908
-0.97,0.635,909
-0.97,0.635,910
-1.01,0.665,911
-1.015,0.64,912
-1.015,0.65,913
-1.015,0.665,914
-1.02,0.68,915
-1.06,0.695,916
-1.08,0.7,917
-1.105,0.685,918
-1.095,0.69,919
-1.09,0.695,920
-1.11,0.695,921
-1.12,0.695,922
-1.14,0.695,923
-1.14,0.67,924
-1.14,0.65,925
-1.14,0.64,926
-1.125,0.64,927
-1.11,0.625,928
-1.11,0.62,929
-1.105,0.6,930
-1.1,0.59,931
-1.08,0.57,932
-1.05,0.565,933
-1.01,0.555,934
-0.985,0.525,935
-0.97,0.49,936
-0.96,0.485,937
-0.905,0.465,938
-0.865,0.46,939
-0.83,0.43,940
-0.81,0.41,941
-0.775,0.385,942
-0.735,0.36,943
-0.69,0.36,944
-0.655,0.36,945
-0.615,0.35,946
-0.6,0.34,947
-0.58,0.31,948
-0.575,0.3,949
-0.54,0.29,950
-0.51,0.3,951
-0.485,0.305,952
-0.485,0.285,953
-0.49,0.275,954
-0.48,0.27,955
-0.455,0.27,956
-0.455,0.28,957
-0.445,0.29,958
-0.445,0.29,959
-0.455,0.28,960
-0.465,0.265,961
-0.43,0.26,962
-0.42,0.285,963
-0.415,0.29,964
-0.44,0.29,965
-0.465,0.29,966
-0.44,0.28,967
-0.42,0.28,968
-0.4,0.3,969
-0.41,0.3,970
-0.41,0.29,971
-0.445,0.265,972
-0.435,0.26,973
-0.42,0.27,974
-0.39,0.285,975
-0.395,0.295,976
-0.395,0.285,977
-0.42,0.275,978
-0.425,0.265,979
-0.405,0.275,980
-0.395,0.27,981
-0.385,0.29,982
-0.385,0.28,983
-0.41,0.255,984
-0.395,0.245,985
-0.385,0.25,986
-0.365,0.265,987
-0.355,0.275,988
-0.375,0.265,989
-0.395,0.25,990
-0.39,0.24,991
-0.38,0.25,992
-0.35,0.265,993
-0.35,0.265,994
-0.365,0.26,995
-0.385,0.255,996
-0.39,0.24,997
-0.345,0.25,998
-0.34,0.265,999
-0.36,0.25,1000
-0.38,0.235,1001
-0.375,0.23,1002
-0.34,0.24,1003
-0.325,0.245,1004
-0.335,0.245,1005
-0.35,0.235,1006
-0.355,0.225,1007
-0.34,0.21,1008
-0.32,0.22,1009
-0.315,0.245,1010
-0.315,0.235,1011
-0.335,0.235,1012
-0.34,0.215,1013
-0.335,0.22,1014
-0.31,0.225,1015
-0.305,0.235,1016
-0.32,0.23,1017
-0.365,0.225,1018
-0.38,0.205,1019
-0.345,0.205,1020
-0.34,0.22,1021
-0.32,0.215,1022
-0.33,0.225,1023
-0.33,0.225,1024
-0.345,0.205,1025
-0.335,0.195,1026
-0.32,0.215,1027
-0.305,0.21,1028
-0.305,0.21,1029
-0.325,0.21,1030
-0.325,0.2,1031
-0.33,0.185,1032
-0.29,0.2,1033
-0.29,0.22,1034
-0.295,0.215,1035
-0.32,0.205,1036
-0.33,0.2,1037
-0.33,0.19,1038
-0.295,0.2,1039
-0.285,0.215,1040
-0.305,0.205,1041
-0.34,0.2,1042
-0.335,0.19,1043
-0.325,0.19,1044
-0.325,0.19,1045
-0.305,0.205,1046
-0.315,0.21,1047
-0.325,0.21,1048
-0.335,0.2,1049
-0.325,0.19,1050
-0.3,0.2,1051
-0.295,0.2,1052
-0.31,0.19,1053
-0.32,0.19,1054
-0.33,0.17,1055
-0.32,0.165,1056
-0.31,0.185,1057
-0.28,0.2,1058
-0.295,0.2,1059
-0.32,0.185,1060
-0.335,0.17,1061
-0.33,0.175,1062
-0.32,0.175,1063
-0.295,0.18,1064
-0.285,0.185,1065
-0.32,0.195,1066
-0.32,0.165,1067
-0.31,0.175,1068
-0.3,0.18,1069
-0.27,0.195,1070
-0.275,0.185,1071
-0.3,0.175,1072
-0.31,0.175,1073
-0.305,0.155,1074
-0.285,0.18,1075
-0.275,0.195,1076
-0.275,0.195,1077
-0.3,0.185,1078
-0.315,0.165,1079
-0.32,0.165,1080
-0.285,0.165,1081
-0.26,0.185,1082
-0.28,0.19,1083
-0.295,0.175,1084
-0.295,0.155,1085
-0.285,0.165,1086
-0.28,0.155,1087
-0.275,0.175,1088
-0.285,0.17,1089
-0.29,0.165,1090
-0.3,0.16,1091
-0.305,0.16,1092
-0.29,0.155,1093
-0.265,0.18,1094
-0.29,0.19,1095
-0.285,0.165,1096
-0.295,0.15,1097
-0.295,0.145,1098
-0.28,0.165,1099
-0.26,0.17,1100
-0.265,0.18,1101
-0.29,0.175,1102
-0.315,0.16,1103
-0.305,0.155,1104
-0.285,0.165,1105
-0.26,0.165,1106
-0.285,0.175,1107
-0.28,0.17,1108
-0.3,0.15,1109
-0.295,0.145,1110
-0.27,0.16,1111
-0.26,0.17,1112
-0.26,0.17,1113
-0.28,0.17,1114
-0.29,0.155,1115
-0.29,0.14,1116
-0.285,0.16,1117
-0.255,0.185,1118
-0.25,0.18,1119
-0.255,0.17,1120
-0.265,0.16,1121
-0.245,0.165,1122
-0.225,0.17,1123
-0.2,0.195,1124
-0.185,0.2,1125
-0.19,0.195,1126
-0.19,0.175,1127
-0.185,0.17,1128
-0.155,0.17,1129
-0.11,0.155,1130
-0.1,0.155,1131
-0.095,0.125,1132
-0.105,0.1,1133
-0.1,0.09,1134
-0.095,0.095,1135
-0.085,0.105,1136
-0.08,0.12,1137
-0.12,0.105,1138
-0.15,0.105,1139
-0.17,0.085,1140
-0.145,0.08,1141
-0.15,0.1,1142
-0.155,0.095,1143
-0.19,0.09,1144
-0.2,0.065,1145
-0.205,0.075,1146
-0.235,0.09,1147
-0.21,0.12,1148
-0.21,0.135,1149
-0.23,0.135,1150
-0.245,0.105,1151
-0.265,0.105,1152
-0.245,0.1,1153
-0.225,0.12,1154
-0.225,0.125,1155
-0.23,0.125,1156
-0.26,0.105,1157
-0.245,0.095,1158
-0.23,0.105,1159
-0.22,0.12,1160
-0.225,0.11,1161
-0.24,0.11,1162
-0.245,0.105,1163
-0.255,0.1,1164
-0.235,0.105,1165
-0.23,0.11,1166
-0.22,0.12,1167
-0.24,0.1,1168
-0.25,0.07,1169
-0.27,0.065,1170
-0.275,0.065,1171
-0.255,0.075,1172
-0.205,0.085,1173
-0.115,0.045,1174
0.025,-0.03,1175
0.21,-0.11,1176
0.485,-0.145,1177
0.795,-0.13,1178
1.08,-0.12,1179
1.33,-0.115,1180
1.52,-0.13,1181
1.56,-0.095,1182
1.355,-0.025,1183
0.995,0.04,1184
0.57,0.095,1185
0.175,0.085,1186
-0.095,0.04,1187
-0.2,0.01,1188
-0.22,-0.01,1189
-0.225,0.0,1190
-0.22,0.025,1191
-0.25,0.06,1192
-0.255,0.08,1193
-0.25,0.085,1194
-0.22,0.095,1195
-0.225,0.11,1196
-0.24,0.125,1197
-0.25,0.11,1198
-0.265,0.11,1199
-0.275,0.11,1200
-0.25,0.105,1201
-0.26,0.12,1202
-0.285,0.12,1203
-0.3,0.125,1204
-0.29,0.115,1205
-0.29,0.11,1206
-0.265,0.095,1207
-0.26,0.11,1208
-0.265,0.115,1209
-0.275,0.11,1210
-0.28,0.1,1211
-0.285,0.075,1212
-0.255,0.095,1213
-0.235,0.115,1214
-0.265,0.115,1215
-0.27,0.105,1216
-0.275,0.085,1217
-0.27,0.08,1218
-0.25,0.09,1219
-0.225,0.095,1220
-0.22,0.105,1221
-0.235,0.105,1222
-0.24,0.09,1223
-0.24,0.065,1224
-0.23,0.075,1225
-0.21,0.085,1226
-0.205,0.085,1227
-0.22,0.07,1228
-0.21,0.06,1229
-0.195,0.045,1230
-0.19,0.05,1231
-0.175,0.06,1232
-0.16,0.06,1233
-0.16,0.045,1234
-0.165,0.035,1235
-0.155,0.01,1236
-0.13,0.02,1237
-0.135,0.035,1238
-0.125,0.035,1239
-0.115,0.015,1240
-0.11,-0.005,1241
-0.11,-0.015,1242
-0.08,-0.025,1243
-0.065,-0.03,1244
-0.05,-0.02,1245
-0.06,-0.04,1246
-0.05,-0.065,1247
-0.045,-0.075,1248
-0.005,-0.085,1249
